Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_C,27.69,29.47,68.91,19922,87%,29.53,10.86,33.78,87%,73%,90%,62%,80%,95%,67%,71%,75%,85%,99%,76%,84%,100%,61%,99%,70%,84%,75%,72%,85%,75%,67%
Field_C,10.27,31.22,59.59,66021,72%,31.13,12.67,34.19,79%,63%,81%,61%,62%,74%,97%,96%,87%,88%,63%,86%,75%,69%,96%,81%,60%,75%,62%,83%,98%,71%,89%
Field_B,26.99,25.13,58.4,91041,84%,41.61,18.09,33.7,71%,68%,61%,93%,72%,88%,98%,89%,60%,98%,98%,77%,89%,99%,97%,95%,62%,100%,63%,78%,89%,78%,79%
Field_D,19.12,27.0,35.59,64072,92%,47.75,15.54,29.82,70%,66%,66%,64%,72%,60%,78%,94%,66%,78%,60%,96%,90%,95%,64%,88%,93%,86%,82%,67%,64%,99%,62%
Field_E,29.07,24.16,35.37,82672,85%,26.92,20.61,18.21,60%,78%,74%,94%,80%,84%,71%,100%,97%,84%,77%,69%,93%,74%,86%,65%,80%,88%,96%,100%,61%,89%,87%
Field_D,26.42,26.62,55.96,80893,76%,31.44,9.56,37.66,85%,91%,78%,63%,96%,64%,88%,84%,65%,66%,97%,77%,89%,76%,68%,96%,85%,80%,64%,99%,87%,100%,94%
Field_B,17.66,30.01,57.88,60719,78%,31.9,24.56,11.69,66%,95%,98%,63%,66%,71%,79%,82%,88%,97%,89%,90%,92%,67%,89%,64%,71%,75%,64%,75%,70%,97%,97%
Field_E,13.88,32.39,55.13,27850,62%,38.52,5.68,26.72,76%,60%,83%,74%,92%,76%,65%,85%,74%,94%,67%,75%,91%,72%,98%,98%,68%,68%,78%,61%,60%,95%,64%
Field_A,13.87,27.99,34.26,56962,74%,22.17,11.31,27.18,88%,68%,69%,92%,76%,75%,74%,68%,75%,60%,91%,71%,71%,95%,72%,63%,96%,94%,84%,87%,97%,88%,96%
Field_C,26.54,33.56,62.15,67581,82%,21.23,24.17,15.29,98%,70%,78%,92%,88%,88%,88%,72%,88%,98%,75%,67%,92%,62%,88%,75%,86%,93%,73%,67%,89%,73%,69%
Field_B,21.24,27.5,60.43,80223,70%,40.27,10.86,21.53,78%,63%,75%,79%,98%,96%,69%,89%,93%,72%,76%,94%,93%,68%,82%,72%,81%,73%,81%,64%,98%,99%,69%
Field_D,27.9,29.37,58.47,46521,94%,34.77,24.72,28.33,88%,60%,77%,98%,78%,74%,70%,64%,61%,78%,74%,71%,73%,80%,86%,64%,93%,81%,67%,74%,88%,80%,60%
Field_C,39.45,20.94,52.54,35779,92%,31.27,20.52,36.37,86%,97%,88%,62%,77%,69%,75%,92%,76%,77%,94%,62%,93%,88%,75%,76%,83%,68%,79%,82%,73%,77%,71%
Field_C,25.46,22.49,47.52,24321,71%,25.01,15.3,34.19,99%,98%,69%,79%,80%,80%,61%,73%,63%,62%,64%,89%,61%,62%,87%,100%,68%,76%,64%,66%,81%,85%,67%
Field_B,29.01,20.93,42.13,86516,95%,10.27,19.67,21.12,93%,73%,76%,95%,100%,94%,70%,73%,94%,77%,92%,76%,83%,65%,60%,68%,69%,83%,95%,100%,73%,92%,62%
Field_C,22.17,31.8,40.39,30371,60%,35.03,11.29,28.03,78%,73%,93%,72%,98%,73%,67%,94%,61%,89%,91%,80%,71%,72%,70%,77%,88%,85%,74%,90%,77%,79%,87%
Field_D,18.74,20.95,67.85,43436,70%,38.65,10.64,39.87,88%,83%,74%,72%,61%,65%,70%,80%,92%,81%,72%,78%,80%,91%,85%,82%,97%,97%,74%,69%,74%,84%,77%
Field_C,22.64,33.28,35.14,36608,79%,17.63,10.23,28.77,67%,63%,76%,84%,83%,73%,95%,84%,87%,99%,72%,88%,97%,68%,75%,61%,86%,96%,68%,76%,69%,86%,85%
Field_A,27.85,33.76,40.01,96194,98%,25.08,17.95,15.92,74%,92%,81%,82%,65%,92%,83%,83%,78%,90%,79%,98%,82%,65%,81%,97%,98%,80%,70%,90%,99%,63%,76%
Field_D,36.33,31.53,57.73,68929,61%,44.69,18.17,28.09,62%,87%,99%,73%,73%,83%,77%,64%,96%,71%,85%,87%,67%,74%,72%,77%,94%,79%,63%,96%,92%,93%,64%
Field_D,27.25,33.78,40.6,86245,78%,39.6,13.33,15.14,82%,76%,84%,62%,98%,98%,70%,65%,83%,100%,72%,65%,60%,66%,80%,70%,60%,85%,62%,87%,82%,78%,80%
Field_D,39.54,25.2,41.64,69496,75%,43.52,20.0,24.92,85%,80%,81%,60%,66%,61%,94%,69%,67%,86%,83%,80%,79%,91%,92%,93%,93%,63%,65%,87%,98%,92%,88%
Field_E,34.25,34.4,60.57,67938,100%,30.4,14.76,34.39,78%,82%,76%,61%,99%,73%,99%,81%,64%,96%,74%,62%,96%,77%,62%,62%,93%,63%,92%,95%,80%,84%,61%
Field_E,27.16,30.82,31.48,38872,67%,46.28,14.7,26.44,65%,76%,96%,94%,86%,71%,77%,95%,73%,82%,95%,92%,88%,92%,96%,79%,84%,83%,86%,70%,70%,95%,93%
Field_D,37.01,24.16,64.08,44159,80%,20.26,12.14,33.24,88%,92%,62%,61%,82%,70%,65%,93%,60%,97%,70%,85%,60%,78%,76%,100%,71%,76%,77%,71%,78%,74%,70%
Field_A,38.9,21.56,63.81,86443,82%,42.25,24.64,26.58,75%,95%,69%,79%,68%,88%,97%,76%,82%,85%,85%,78%,60%,74%,68%,89%,75%,97%,62%,92%,95%,83%,85%
Field_D,17.45,20.57,48.12,91233,85%,19.53,12.14,34.74,63%,71%,75%,94%,67%,84%,76%,94%,89%,65%,80%,70%,84%,70%,66%,62%,94%,100%,92%,98%,66%,63%,73%
Field_C,21.71,27.89,41.15,45222,98%,49.95,22.04,39.6,69%,63%,65%,95%,70%,68%,96%,70%,72%,64%,64%,70%,85%,81%,92%,61%,66%,74%,66%,90%,78%,60%,86%
Field_E,33.44,22.25,33.12,38414,67%,34.97,19.08,12.13,71%,83%,65%,83%,83%,83%,63%,81%,64%,74%,60%,97%,61%,87%,82%,63%,91%,87%,82%,87%,82%,90%,97%
Field_C,28.81,32.95,65.52,79707,94%,21.7,18.47,31.82,87%,64%,65%,100%,100%,96%,99%,93%,62%,95%,78%,77%,83%,63%,68%,95%,86%,75%,62%,60%,64%,83%,60%
Field_E,38.24,32.04,40.12,37674,78%,27.12,17.85,16.34,80%,73%,71%,89%,82%,94%,62%,94%,79%,84%,81%,76%,62%,64%,86%,88%,82%,97%,68%,79%,76%,81%,68%
Field_B,21.83,28.03,35.72,66554,75%,33.41,6.3,14.92,66%,91%,67%,84%,68%,96%,72%,98%,82%,62%,74%,84%,83%,74%,100%,63%,86%,98%,81%,88%,72%,95%,76%
Field_A,35.51,20.91,39.3,20493,80%,37.86,18.91,30.5,90%,78%,82%,94%,88%,95%,87%,76%,84%,70%,69%,98%,95%,65%,92%,84%,90%,86%,98%,91%,87%,66%,62%
Field_A,14.3,22.2,41.79,53301,91%,24.77,8.79,27.1,89%,98%,84%,79%,67%,89%,80%,88%,74%,67%,65%,72%,82%,89%,77%,62%,87%,93%,76%,72%,60%,98%,80%
Field_A,32.36,20.79,45.09,35753,74%,19.14,10.11,10.33,94%,86%,69%,99%,69%,66%,89%,73%,75%,99%,75%,80%,91%,81%,63%,80%,70%,69%,97%,96%,65%,77%,99%
Field_C,13.58,20.19,34.52,91623,89%,28.4,15.77,19.33,85%,96%,83%,66%,95%,81%,76%,98%,78%,89%,89%,73%,91%,83%,65%,74%,71%,70%,62%,84%,86%,89%,63%
Field_B,19.12,24.19,54.1,20166,60%,29.92,16.84,21.06,99%,71%,87%,98%,86%,65%,72%,98%,70%,65%,96%,95%,84%,75%,68%,84%,96%,83%,94%,96%,99%,97%,68%
Field_C,32.56,33.02,31.59,25821,65%,44.7,21.32,30.34,95%,85%,99%,91%,95%,65%,95%,90%,88%,100%,83%,86%,63%,76%,69%,74%,98%,82%,99%,77%,85%,84%,90%
Field_C,14.49,33.42,35.05,42851,65%,25.46,18.32,20.82,84%,82%,68%,100%,72%,87%,65%,90%,88%,87%,97%,89%,62%,83%,81%,67%,77%,69%,93%,97%,99%,79%,100%
Field_A,12.95,20.24,49.29,36183,60%,33.47,15.13,19.21,99%,82%,61%,85%,68%,88%,73%,84%,96%,64%,69%,100%,69%,66%,85%,75%,77%,62%,96%,74%,92%,62%,94%
Field_B,39.63,33.77,54.19,90139,89%,14.95,18.3,10.7,100%,88%,93%,79%,72%,79%,82%,77%,77%,94%,81%,72%,78%,67%,76%,65%,63%,89%,96%,67%,70%,95%,87%
Field_B,16.38,32.86,61.83,44033,90%,40.21,20.25,10.23,81%,68%,69%,74%,78%,84%,72%,65%,77%,63%,84%,65%,93%,76%,61%,75%,62%,77%,73%,87%,79%,73%,97%
Field_B,14.29,26.44,66.2,60798,76%,33.72,21.24,25.65,77%,85%,86%,83%,74%,65%,98%,81%,69%,62%,60%,95%,64%,96%,70%,62%,98%,87%,73%,77%,85%,62%,86%
Field_C,30.23,32.25,69.35,11783,95%,40.46,21.17,31.4,83%,80%,63%,68%,65%,81%,92%,89%,71%,78%,64%,75%,81%,94%,68%,63%,69%,67%,71%,65%,65%,79%,75%
Field_B,25.61,25.61,32.0,77844,99%,49.34,10.1,15.91,88%,77%,64%,84%,79%,70%,93%,76%,77%,87%,90%,76%,83%,94%,72%,85%,79%,89%,81%,100%,69%,88%,61%
Field_E,24.8,28.49,67.93,16126,65%,37.45,8.12,18.02,76%,80%,88%,66%,86%,93%,79%,75%,94%,88%,74%,71%,62%,94%,71%,85%,78%,72%,71%,64%,76%,61%,86%
Field_C,24.59,23.0,48.42,37209,90%,42.57,22.15,22.56,78%,80%,99%,92%,60%,92%,97%,60%,74%,64%,98%,94%,92%,72%,61%,84%,63%,66%,95%,73%,75%,60%,99%
Field_D,33.62,28.38,63.39,68301,62%,10.88,6.84,27.06,91%,100%,75%,92%,87%,69%,62%,98%,96%,81%,89%,85%,72%,97%,71%,91%,66%,68%,95%,94%,88%,62%,64%
Field_B,19.59,28.04,48.54,13767,76%,28.95,17.59,15.51,74%,100%,68%,89%,83%,71%,73%,91%,65%,75%,88%,91%,69%,86%,64%,99%,88%,77%,67%,66%,95%,100%,69%
Field_C,27.03,32.65,30.01,61063,80%,17.59,6.8,30.65,93%,67%,83%,86%,80%,84%,71%,75%,83%,79%,63%,66%,92%,97%,65%,74%,82%,91%,68%,87%,71%,91%,92%
Field_A,21.18,34.98,58.58,15076,71%,10.89,15.28,15.23,82%,78%,74%,60%,87%,63%,72%,62%,73%,96%,63%,76%,82%,87%,98%,89%,63%,90%,91%,70%,82%,82%,85%
Field_C,12.25,27.92,39.5,45287,70%,21.23,14.05,13.89,70%,96%,89%,76%,71%,60%,91%,73%,98%,72%,95%,70%,61%,82%,91%,65%,78%,69%,85%,72%,69%,64%,86%
Field_C,11.73,22.57,51.2,83829,60%,42.35,18.78,25.58,66%,60%,64%,76%,90%,75%,60%,93%,96%,92%,72%,79%,79%,83%,79%,80%,91%,69%,96%,89%,78%,72%,62%
Field_B,21.62,32.4,55.06,99525,74%,49.55,15.13,35.31,86%,86%,68%,88%,95%,68%,66%,90%,86%,72%,74%,94%,87%,61%,68%,61%,73%,88%,65%,95%,75%,95%,62%
Field_D,14.8,23.49,46.9,60566,77%,24.54,16.7,23.92,94%,99%,81%,63%,79%,60%,92%,79%,63%,99%,68%,91%,85%,70%,78%,96%,61%,72%,60%,93%,75%,63%,63%
Field_B,30.4,26.23,66.07,47244,72%,31.27,6.01,26.42,69%,64%,80%,67%,100%,89%,76%,76%,83%,66%,86%,60%,62%,72%,74%,62%,79%,84%,75%,66%,73%,71%,72%
Field_B,22.71,30.21,30.53,98261,72%,20.31,6.9,15.67,61%,96%,86%,60%,96%,91%,67%,87%,66%,90%,90%,67%,64%,97%,61%,92%,87%,79%,89%,99%,61%,81%,96%
Field_E,13.87,32.18,34.49,20302,63%,29.17,8.58,34.04,75%,89%,70%,92%,82%,79%,95%,75%,78%,80%,71%,64%,70%,82%,95%,74%,69%,63%,75%,72%,98%,74%,60%
Field_B,27.44,24.3,42.23,33222,87%,11.69,10.65,21.32,90%,64%,75%,90%,77%,73%,70%,68%,87%,86%,86%,93%,74%,65%,67%,92%,94%,63%,85%,85%,64%,69%,98%
Field_C,10.33,20.53,67.01,50528,78%,38.21,13.58,19.59,95%,77%,63%,92%,67%,86%,95%,100%,90%,60%,93%,67%,66%,99%,64%,76%,69%,90%,99%,83%,91%,62%,80%
Field_D,39.08,32.19,33.69,30644,100%,37.26,22.65,17.49,92%,89%,73%,77%,75%,99%,65%,62%,70%,86%,83%,60%,66%,92%,94%,100%,84%,76%,83%,86%,60%,100%,75%
Field_E,25.49,29.46,52.41,43671,61%,23.16,21.86,20.47,85%,99%,65%,66%,62%,83%,92%,76%,97%,73%,61%,73%,69%,84%,72%,76%,94%,60%,99%,87%,71%,74%,68%
Field_C,22.59,21.51,40.6,69262,85%,42.26,23.41,25.12,78%,60%,95%,66%,73%,86%,78%,90%,88%,98%,70%,63%,78%,64%,82%,74%,84%,83%,62%,88%,82%,84%,75%
Field_A,18.09,27.93,35.49,37774,67%,21.2,10.38,36.04,81%,92%,96%,67%,64%,87%,94%,68%,65%,90%,95%,98%,89%,81%,64%,73%,69%,80%,99%,98%,62%,79%,96%
Field_B,16.49,20.4,60.86,15362,100%,47.7,18.26,35.4,67%,100%,60%,69%,68%,72%,64%,79%,96%,77%,73%,79%,63%,61%,83%,75%,77%,75%,79%,99%,92%,60%,90%
Field_C,20.77,25.92,33.98,98614,71%,23.18,23.79,33.15,69%,85%,77%,73%,60%,93%,92%,80%,62%,63%,71%,77%,71%,65%,79%,63%,69%,92%,74%,84%,60%,68%,61%
Field_C,39.58,33.48,37.77,62809,75%,22.75,17.38,13.85,88%,71%,67%,89%,91%,77%,67%,63%,98%,94%,84%,94%,63%,93%,92%,96%,96%,67%,62%,99%,61%,76%,67%
Field_C,29.96,33.68,61.78,48497,64%,46.62,14.86,19.97,85%,60%,60%,88%,85%,94%,81%,74%,93%,81%,60%,68%,62%,80%,92%,87%,81%,75%,93%,92%,68%,89%,69%
Field_B,14.45,26.21,44.52,68643,89%,18.34,23.12,23.25,63%,61%,94%,69%,76%,93%,88%,87%,100%,92%,63%,97%,62%,82%,97%,87%,76%,86%,98%,83%,73%,94%,91%
Field_C,10.97,34.56,41.47,23799,86%,28.65,22.51,16.5,77%,92%,81%,77%,84%,70%,77%,83%,76%,64%,80%,68%,67%,60%,66%,60%,79%,70%,86%,77%,76%,85%,99%
Field_B,30.48,32.72,32.47,57194,78%,46.03,20.98,36.96,69%,72%,62%,60%,68%,61%,69%,70%,87%,83%,82%,81%,73%,60%,75%,91%,86%,87%,71%,84%,92%,72%,94%
Field_D,35.23,30.5,32.72,43702,85%,10.51,6.45,39.98,89%,88%,93%,88%,75%,79%,84%,76%,91%,75%,91%,98%,76%,88%,84%,64%,65%,74%,71%,71%,93%,93%,60%
Field_D,29.11,30.69,57.56,33753,76%,49.19,23.7,34.12,78%,96%,67%,61%,63%,80%,72%,89%,67%,64%,72%,63%,72%,97%,100%,85%,95%,88%,97%,89%,74%,71%,72%
Field_D,21.26,34.16,65.21,40869,91%,40.08,20.4,23.14,63%,81%,67%,68%,69%,100%,89%,85%,98%,69%,99%,84%,67%,87%,68%,88%,93%,71%,96%,61%,77%,90%,80%
Field_D,17.62,30.83,32.09,56727,81%,23.81,10.22,20.46,64%,96%,99%,62%,75%,74%,66%,62%,84%,75%,85%,85%,60%,80%,69%,77%,99%,79%,86%,85%,92%,83%,62%
Field_D,18.24,25.37,68.76,33302,79%,36.9,20.84,36.39,95%,87%,93%,92%,78%,72%,87%,98%,65%,98%,67%,96%,76%,83%,98%,71%,97%,80%,92%,94%,86%,65%,71%
Field_C,25.19,27.97,62.04,62968,97%,48.88,23.84,38.38,62%,71%,93%,89%,94%,91%,73%,84%,83%,60%,63%,79%,97%,81%,90%,86%,75%,93%,74%,73%,73%,78%,87%
Field_A,35.16,25.52,30.61,63877,70%,18.95,17.95,13.87,82%,76%,80%,69%,97%,94%,81%,98%,87%,87%,96%,97%,71%,67%,98%,83%,89%,95%,88%,95%,94%,68%,64%
Field_D,30.85,29.4,67.17,74148,73%,30.51,16.65,36.49,62%,84%,70%,97%,95%,73%,64%,97%,63%,84%,72%,79%,77%,77%,62%,74%,76%,73%,69%,82%,81%,68%,69%
Field_E,27.43,29.34,37.21,95413,77%,31.27,16.36,39.71,87%,97%,66%,90%,87%,100%,78%,100%,62%,86%,77%,89%,83%,86%,70%,71%,68%,70%,70%,70%,69%,90%,99%
Field_D,28.37,24.83,68.14,85224,81%,22.38,11.16,39.63,88%,61%,61%,65%,84%,86%,62%,100%,71%,94%,75%,79%,86%,91%,63%,68%,72%,70%,82%,75%,79%,78%,74%
Field_D,21.84,32.92,49.54,51886,61%,48.13,23.0,36.33,87%,87%,79%,88%,72%,86%,100%,93%,85%,76%,79%,100%,85%,63%,96%,75%,84%,80%,64%,85%,78%,92%,86%
Field_C,36.49,24.52,49.26,90928,75%,18.6,20.52,13.15,100%,63%,80%,96%,99%,100%,79%,89%,94%,97%,78%,94%,70%,77%,71%,65%,77%,87%,87%,66%,92%,67%,63%
Field_B,24.77,20.1,57.04,71502,97%,42.29,5.89,19.83,82%,100%,74%,91%,92%,63%,61%,97%,70%,70%,81%,93%,89%,63%,70%,97%,65%,64%,74%,87%,91%,88%,93%
Field_C,31.22,21.44,36.22,29636,99%,37.91,19.1,39.63,72%,88%,86%,69%,76%,78%,66%,67%,97%,95%,80%,79%,96%,91%,80%,82%,73%,85%,70%,91%,73%,67%,82%
Field_A,36.87,22.78,65.53,19029,72%,11.62,6.4,32.41,96%,80%,77%,84%,93%,96%,77%,79%,94%,90%,63%,61%,87%,75%,99%,86%,85%,80%,78%,72%,91%,91%,78%
Field_A,36.19,25.56,68.85,35226,65%,32.48,12.43,32.81,81%,90%,94%,62%,62%,88%,94%,78%,76%,99%,96%,72%,95%,68%,78%,69%,72%,64%,99%,99%,84%,87%,95%
Field_D,21.5,20.4,40.62,69170,67%,35.19,23.68,11.43,99%,65%,82%,65%,62%,76%,66%,93%,69%,94%,90%,82%,94%,78%,65%,97%,97%,93%,76%,92%,60%,75%,85%
Field_B,39.56,20.11,68.03,39981,62%,11.83,24.91,14.67,71%,81%,66%,85%,67%,86%,63%,90%,63%,94%,83%,74%,84%,91%,75%,79%,96%,83%,60%,89%,76%,82%,94%
Field_D,28.45,25.45,40.49,71348,80%,45.68,14.89,35.81,73%,98%,88%,64%,71%,68%,82%,99%,65%,60%,82%,64%,86%,100%,83%,67%,64%,98%,91%,69%,93%,91%,90%
Field_A,17.19,33.26,45.51,61023,95%,27.81,16.0,35.3,90%,88%,86%,89%,94%,82%,91%,79%,87%,74%,80%,70%,65%,84%,76%,94%,85%,95%,66%,83%,74%,71%,90%
Field_B,12.75,26.62,50.83,25457,60%,15.52,5.05,17.66,83%,94%,96%,77%,68%,88%,96%,84%,63%,63%,86%,98%,63%,65%,97%,71%,89%,68%,61%,98%,73%,91%,62%
Field_B,35.15,29.52,69.61,85520,99%,47.94,21.38,30.96,81%,84%,83%,85%,80%,89%,76%,89%,61%,90%,83%,92%,96%,88%,74%,65%,98%,91%,71%,61%,99%,76%,64%
Field_D,10.51,31.77,44.5,17314,67%,21.79,24.47,22.29,80%,88%,78%,80%,94%,64%,75%,90%,95%,70%,77%,67%,88%,72%,60%,65%,67%,76%,76%,60%,66%,94%,77%
Field_B,18.24,33.25,30.42,36364,61%,45.79,7.55,39.19,67%,94%,93%,63%,87%,75%,61%,71%,69%,77%,90%,99%,95%,70%,78%,94%,92%,91%,81%,75%,81%,91%,73%
Field_B,31.45,28.23,44.89,42649,88%,27.97,18.16,13.16,65%,100%,89%,91%,60%,75%,93%,96%,66%,78%,88%,74%,94%,92%,64%,70%,83%,74%,74%,67%,60%,92%,67%
Field_A,39.59,30.53,30.72,45894,86%,40.22,21.45,31.7,69%,65%,61%,92%,71%,73%,100%,88%,69%,81%,75%,71%,87%,92%,92%,75%,72%,67%,94%,85%,74%,81%,70%
Field_B,12.33,26.88,53.15,36951,78%,16.27,10.74,37.56,72%,82%,84%,71%,100%,80%,96%,100%,68%,64%,72%,82%,70%,94%,62%,60%,73%,99%,69%,88%,63%,86%,99%
Field_A,39.43,31.93,54.33,34920,79%,38.12,24.3,32.84,80%,89%,69%,94%,95%,76%,98%,61%,82%,88%,99%,100%,93%,69%,94%,72%,61%,87%,97%,88%,72%,98%,80%
Field_D,15.38,26.0,66.89,21005,62%,25.5,14.22,22.46,91%,64%,87%,77%,80%,66%,98%,72%,66%,77%,90%,71%,90%,62%,80%,79%,71%,67%,79%,74%,84%,89%,68%
Field_E,39.98,32.88,44.72,46657,73%,35.68,19.04,14.37,91%,92%,84%,74%,79%,94%,78%,71%,77%,60%,62%,63%,90%,74%,98%,75%,97%,71%,95%,60%,75%,62%,98%
Field_A,33.82,32.43,56.01,59649,68%,48.27,9.51,39.45,99%,71%,81%,62%,100%,78%,65%,65%,62%,81%,95%,93%,88%,69%,84%,75%,77%,87%,60%,71%,98%,74%,75%
Field_E,12.34,23.09,41.54,83046,82%,17.41,16.5,22.45,67%,91%,99%,75%,60%,67%,77%,83%,85%,69%,80%,61%,66%,81%,78%,93%,79%,94%,78%,93%,99%,68%,90%
Field_D,18.65,34.39,44.7,10002,67%,44.67,18.51,21.63,87%,90%,63%,64%,69%,72%,77%,78%,65%,100%,67%,74%,92%,62%,70%,77%,68%,68%,64%,83%,60%,99%,63%
Field_D,22.07,33.81,61.21,21336,78%,17.73,14.04,11.5,71%,82%,82%,76%,100%,84%,69%,96%,80%,88%,78%,94%,62%,78%,83%,82%,97%,82%,60%,97%,83%,69%,91%
Field_D,33.24,32.51,60.21,83886,78%,14.69,23.91,26.35,82%,65%,72%,63%,83%,68%,85%,75%,78%,69%,92%,71%,92%,100%,74%,83%,82%,100%,92%,86%,74%,93%,67%
Field_B,27.69,34.99,48.74,21004,71%,11.67,10.98,37.54,76%,83%,99%,85%,94%,71%,73%,71%,92%,75%,66%,95%,64%,66%,60%,75%,72%,81%,62%,83%,99%,86%,74%
Field_D,15.39,25.52,54.14,70700,77%,20.16,8.96,31.27,69%,93%,92%,91%,81%,84%,66%,67%,71%,64%,71%,87%,75%,98%,80%,78%,71%,77%,70%,67%,73%,66%,76%
Field_D,27.4,25.19,56.51,83782,74%,41.74,17.8,15.57,81%,86%,72%,60%,96%,60%,63%,79%,87%,82%,96%,100%,68%,78%,93%,82%,92%,75%,90%,63%,86%,70%,68%
Field_D,29.71,25.89,55.83,37100,96%,14.39,21.5,30.3,92%,88%,62%,85%,80%,69%,60%,81%,74%,99%,87%,62%,93%,80%,66%,86%,64%,95%,86%,68%,80%,64%,89%
Field_C,22.59,30.01,53.96,73898,79%,19.31,17.84,35.8,77%,76%,91%,99%,66%,60%,91%,84%,79%,71%,62%,98%,72%,77%,74%,84%,62%,98%,80%,86%,62%,83%,79%
Field_E,36.53,33.98,30.23,77479,76%,17.82,21.37,24.64,66%,97%,98%,79%,89%,70%,60%,97%,85%,100%,97%,72%,85%,87%,64%,73%,76%,87%,91%,84%,66%,99%,67%
Field_C,24.62,23.07,45.1,97650,94%,39.56,24.66,27.83,62%,64%,89%,67%,89%,97%,80%,69%,65%,73%,81%,93%,67%,66%,96%,63%,71%,72%,72%,82%,94%,78%,71%
Field_C,37.6,23.33,42.85,41927,81%,24.75,7.73,27.94,85%,98%,95%,80%,91%,77%,78%,73%,69%,85%,85%,78%,98%,86%,100%,62%,69%,70%,90%,76%,97%,94%,84%
Field_E,33.7,23.46,45.52,27537,61%,34.33,7.94,32.47,88%,87%,65%,96%,64%,96%,74%,67%,97%,83%,79%,76%,92%,70%,65%,80%,87%,73%,77%,84%,74%,74%,76%
Field_A,17.22,33.07,33.94,58137,69%,44.84,24.63,18.43,63%,98%,80%,73%,90%,66%,71%,66%,61%,96%,91%,96%,75%,80%,69%,73%,60%,76%,66%,90%,74%,79%,80%
Field_E,19.98,28.91,47.11,40004,69%,34.84,13.86,37.92,90%,100%,61%,77%,89%,70%,83%,89%,82%,75%,61%,66%,84%,92%,64%,91%,96%,82%,80%,80%,74%,88%,60%
Field_E,27.33,34.48,42.97,15110,65%,47.74,23.12,30.48,79%,90%,61%,99%,83%,68%,80%,99%,87%,81%,84%,93%,68%,96%,73%,71%,64%,95%,67%,75%,80%,89%,66%
Field_A,22.94,23.76,33.32,25750,96%,36.33,20.78,10.08,89%,93%,100%,74%,96%,68%,95%,79%,74%,83%,93%,74%,87%,67%,81%,76%,100%,73%,89%,63%,87%,96%,68%
